鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),臺北市中山區新生北路二段68巷1~30號,9.43,商,,,1081216,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,68.69,2,1,1,有,有,18580000,270530,,0.0,0,,RPSOMLNKKHPFFCA87CA
中山區,房地(土地+建物),臺北市中山區長春路1~30號,3.69,商,,,1090110,土地1建物1車位0,九層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990212,41.980000000000004,1,1,1,有,有,11350000,270367,,0.0,0,,RPRNMLLKKHPFFCA47CA
內湖區,房地(土地+建物),臺北市內湖區康寧路三段75巷211~240號,1.24,住,,,1090105,土地1建物2車位0,三層,三層,其他,見使用執照,鋼筋混凝土造,0750122,2.6,0,0,0,無,有,400000,153846,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLLKKHPFFCA87CA
中山區,房地(土地+建物),臺北市中山區民權東路二段91~120號,96.0,商,,,1081126,土地1建物1車位0,全,四層,透天厝,,加強磚造,,283.5,0,0,0,無,無,87000000,306878,,0.0,0,,RPSOMLMKKHPFFCA77CA
中山區,房地(土地+建物),臺北市中山區新生北路二段60巷31~60號,20.27,商,,,1081226,土地1建物1車位0,一層,七層,店面(店鋪),商業用,鋼筋混凝土造,0720121,130.82999999999998,0,0,1,有,無,19380000,148131,,0.0,0,含增建或未登記建物。;,RPWPMLQJKHPFFCA58CA
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街181~210號,10.49,住,,,1090107,土地1建物1車位0,四層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820729,38.68,1,1,1,有,有,6320000,163392,,0.0,0,,RPORMLQJKHPFFCA97CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路164巷61~90號,17.0,住,,,1081126,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040312,89.28,2,1,1,有,有,17500000,196013,塔式車位,23.15,0,含增建或未登記建物。;,RPPNMLRJKHPFFCA77CA
中山區,房地(土地+建物),臺北市中山區建國北路三段75巷1~30號,32.63,住,,,1090111,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720225,152.23,4,2,2,有,有,26000000,170794,,0.0,0,,RPXOMLRJKHPFFCA68CA
中山區,房地(土地+建物),臺北市中山區龍江路241~270號,22.21,住,,,1081227,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691027,132.57999999999998,3,2,2,有,有,25500000,192337,,0.0,0,含增建或未登記建物。;,RPUPMLRJKHPFFCA48CA
中山區,車位,臺北市中山區北安路630巷25弄1~30號,8.76,住,,,1090121,土地0建物0車位1,地下二層,九層,其他,停車空間,鋼筋混凝土造,0861008,54.01,0,0,0,有,有,2000000,,坡道平面,48.51,2000000,急買急賣。;,RPSQMLRJKHPFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區成功路四段182巷6弄1~30號,25.03,商,,,1081224,土地1建物1車位0,二層,五層,店面(店鋪),商業用,鋼筋混凝土造,0720709,120.88,0,0,0,無,無,19000000,157181,,0.0,0,,RPUQMLRJKHPFFCA58CA
內湖區,房地(土地+建物),臺北市內湖區成功路四段182巷6弄1~30號,21.19,商,,,1081224,土地1建物3車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,0720709,102.06,0,0,0,無,無,34500000,338036,,0.0,0,,RPVQMLRJKHPFFCA68CA
大同區,土地,迪化段二小段331~360地號,10.7,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,467290,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLMLKHPFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區艋舺大道386巷1~30號,25.0,住,,,1081225,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751222,97.89999999999999,3,2,2,有,無,13000000,132789,,0.0,0,,RPPOMLRLKHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段121~150號,19.64,商,,,1081225,土地2建物1車位2,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,281.9,2,2,2,有,有,45660000,204948,坡道平面,83.02,4900000,1.本案因賣方需辦理車位調整後再行移轉，故公契及私契立契日不同，本申報立契日為私契日期。2.建物清冊公設建號內含車位面積。,RPWOMLNKKHPFFBA18CA
中正區,房地(土地+建物),臺北市中正區青島東路1~30號,30.61,住,,,1081216,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720203,154.47,3,2,2,有,有,17000000,110054,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLKKKHPFFBA17CA
萬華區,房地(土地+建物),臺北市萬華區長順街14巷1弄1~30號,20.64,住,,,1090103,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0561129,53.42,2,1,1,有,有,5200000,97342,,0.0,0,,RPSNMLMKKHPFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區長沙街二段151~180號,12.65,商,,,1090105,土地1建物1車位0,二層,十一層,其他,商業用,鋼筋混凝土造,0800201,132.29,3,2,2,有,有,19680000,148764,,0.0,0,含增建或未登記建物。;共有人數2人。建物型態：住辦,RPUOMLRJKHPFFBA28CA
萬華區,房地(土地+建物),臺北市萬華區雅江街61~90號,15.25,住,,,1090105,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740404,46.69,2,1,1,有,無,6880000,147355,,0.0,0,,RPOPMLRJKHPFFBA77CA
中正區,房地(土地+建物),臺北市中正區杭州南路一段6巷1~30號,41.67,商,,,1081031,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761209,153.59,2,2,2,有,無,37000000,240901,,0.0,0,含增建或未登記建物。;,RPQPMLRJKHPFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區漢口街二段31~60號,3.66,商,,,1090108,土地1建物1車位0,四層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0691223,34.71,1,1,1,有,有,3800000,109479,,0.0,0,,RPUNMLKKKHPFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區國興路1~30號,12.4,住,,,1081220,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,46.08,2,1,1,有,有,6800000,147569,,0.0,0,,RPROMLKKKHPFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區大理街130巷2弄1~30號,31.0,其他,,,1081231,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0621226,89.71,3,2,1,有,無,5320000,59302,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPTOMLQJKHPFFBA08CA
大同區,房地(土地+建物),臺北市大同區環河北路二段361~390號,26.21,住,,,1081201,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700805,94.71,3,2,1,有,無,9380000,99039,,0.0,0,含增建或未登記建物。;,RPVOMLQJKHPFFBA28CA
大同區,房地(土地+建物)+車位,臺北市大同區南京西路301~330號,33.72,其他,,,1081230,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010406,196.41,3,2,2,有,有,33680000,171478,塔式車位,0.0,0,含增建或未登記建物。;,RPQNMLRJKHPFFBA77CA
中正區,房地(土地+建物),臺北市中正區衡陽路91~120號,3.87,商,,,1081214,土地1建物1車位0,七層,十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970131,51.230000000000004,1,1,1,有,有,11300000,220574,,0.0,0,,RPSNMLRJKHPFFBA97CA
文山區,房地(土地+建物),臺北市文山區興隆路三段61~90號,11.54,商,,,1090106,土地2建物1車位0,四層，電梯樓梯間,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851030,37.43,1,1,1,有,有,6500000,173657,,0.0,0,,RPQNMLLLKHPFFAA27CA
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段61~90號,40.93,住,,,1090114,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,216.26000000000002,3,2,2,有,有,27000000,140724,坡道平面,36.12,1650000,親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,RPPPMLOJLHPFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區試院路61~90號,38.86,住,,,1081205,土地6建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861115,145.4,3,2,2,有,有,17000000,116919,升降平面,17.45,0,包含公共設施保留地之交易。;,RPPNMLSJKHPFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷9弄1~30號,46.49,住,,,1081127,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710225,96.0,3,2,1,有,無,8000000,83333,,0.0,0,含增建或未登記建物。;,RPSNMLTJKHPFFAA08CA
文山區,房地(土地+建物),臺北市文山區和平東路四段61~90號,17.77,住,,,1081213,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700202,64.81,3,2,2,有,無,5750000,88721,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKKKHPFFAA57CA
中正區,房地(土地+建物)+車位,臺北市中正區師大路211~240號,10.24,住,,,1081229,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991027,100.31,2,2,1,有,有,19800000,236251,其他,24.12,1800000,含增建或未登記建物。;,RPROMLNKKHPFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區秀明路一段129巷31~60號,153.35,住,,,1081207,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070302,231.7,4,2,2,有,有,36000000,170327,坡道平面,35.02,2500000,,RPRNMLRKKHPFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區政大二街91~120號,57.85,住,,,1081208,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850815,147.2,3,2,2,有,有,17500000,118886,坡道機械,0.0,0,,RPSNMLRKKHPFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段1~30號,24.07,住,,,1090116,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060112,186.56,3,2,2,有,有,27700000,148478,升降機械,27.89,0,,RPROMLMKKHPFFAA47CA
文山區,房地(土地+建物),臺北市文山區萬利街41巷1~30號,33.81,其他,,,1090103,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830705,129.76,3,2,2,有,無,15350000,118295,,0.0,0,,RPQOMLNKKHPFFAA47CA
文山區,房地(土地+建物),臺北市文山區萬安街37巷1~30號,61.06,住,,,1090103,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760811,121.78,3,2,2,有,無,13200000,108392,,0.0,0,,RPSNMLRJKHPFFAA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街91~120號,9.18,住,,,1081222,土地1建物1車位1,八層，夾層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871228,167.32999999999998,4,2,2,有,有,17320000,103508,坡道平面,0.0,0,含增建或未登記建物。;,RPTOMLKKKHPFFBA57CA
大同區,房地(土地+建物)+車位,臺北市大同區華陰街91~120號,5.21,商,,,1081227,土地1建物1車位1,五層,十五層,其他,見其他登記事項,鋼筋混凝土造,1001205,60.589999999999996,1,1,1,有,有,13980000,230769,塔式車位,0.0,0,,RPXNMLKKKHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區富民路61~90號,15.0,住,,,1090108,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670131,71.63,2,1,1,有,無,8800000,122854,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣。含頂樓增建建物6樓1房1廳1衛,RPVOMLRJKHPFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區漢中街1~30號,13.02,商,,,1081208,土地3建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670719,95.49000000000001,3,1,2,有,有,15100000,158132,,0.0,0,含增建或未登記建物。;,RPTOMLRJKHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區峨眉街121~150號,16.57,商,,,1081227,土地2建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651027,116.21000000000001,3,2,1,有,無,12750000,109715,,0.0,0,,RPQOMLKKKHPFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區富民路145巷35弄1~30號,24.0,住,,,1081206,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0591207,67.5,3,1,2,有,無,7700000,114074,,0.0,0,含增建或未登記建物。;,RPUQMLLKKHPFFBA97CA
大同區,車位,臺北市大同區南京西路271~300號,1.02,商,,,1081213,土地0建物0車位2,,,其他,,,,79.14,0,0,0,有,有,3900000,,坡道平面,79.14,3900000,單獨車位交易。;,RPPNMLOKKHPFFBA47CA
大同區,房地(土地+建物)+車位,臺北市大同區敦煌路80巷1~30號,28.27,住,,,1081222,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890112,135.04000000000002,3,2,2,有,有,19700000,145883,坡道機械,20.67,0,,RPRNMLOKKHPFFBA67CA
中正區,房地(土地+建物),臺北市中正區懷寧街61~90號,153.0,商,,,1081115,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0550302,686.95,17,1,5,有,無,263800000,384016,,0.0,0,,RPWOMLOJLHPFFBA28CA
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段71巷1~30號,36.5,住,,,1090110,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610117,138.24,4,1,1,有,無,37000000,267650,坡道平面,0.0,0,,RPPOMLQJLHPFFBA77CA
大同區,房地(土地+建物),臺北市大同區迪化街二段190巷1~30號,23.6,住,,,1081229,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671207,74.89,3,2,1,有,無,8500000,113500,,0.0,0,,RPRPMLTKKHPFFBA38CA
大同區,房地(土地+建物),臺北市大同區延平北路二段61~90號,13.79,其他,,,1090106,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830609,130.75,0,0,0,無,有,18000000,137667,,0.0,0,,RPTPMLTKKHPFFBA58CA
萬華區,土地,直興段二小段181~210地號,278.0,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,129506300,465850,,0.0,0,本買賣案含土地上之未辦保存登記建物買方另支付仲介費2523000元;買方另代替賣方支付仲介費493700元。,RPROMLKLKHPFFBA47CA
內湖區,土地,康寧段三小段91~120地號,25.25,住,,,1090116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5302500,210000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLMKKHPFFCA18CA
中山區,房地(土地+建物),臺北市中山區新生北路二段91~120號,2.86,商,,,1090110,土地3建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711224,32.36,0,0,0,無,有,4600000,142151,,0.0,0,,RPVQMLNKKHPFFCA38CA
中山區,房地(土地+建物),臺北市中山區中山北路二段181~210號,18.72,商,,,1081231,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,222.27999999999997,3,2,3,有,有,69400000,312219,,0.0,0,,RPWNMLKKKHPFFCA87CA
